회사코드,회사명,상장여부,업데이트일
32200,HD현대에너지솔루션,상장,20251230
44306,HD현대마린솔루션,상장,20251230
26725,HD현대,상장,20251230
954,HD한국조선해양,상장,20251230
7893,GS,상장,20251230
11409,GKL,상장,20251230
36555,ESR켄달스퀘어리츠,상장,20251230
1794,E1,상장,20251230
37550,DL이앤씨,상장,20251230
21,DL,상장,20251230
13913,iM금융지주,상장,20251230
99,DB하이텍,상장,20251230
583,DB손해보험,상장,20251230
1661,DB증권,상장,20251230
12,CJ대한통운,상장,20251230
684,AK홀딩스,상장,20251230
626,LS,상장,20251230
144,대한전선,상장,20251230
1245,한화에어로스페이스,상장,20251230
3020,케이티,상장,20251230
49,대동,상장,20251230
1012,엘에스일렉트릭,상장,20251230
8,하이트진로,상장,20251230
6098,HL홀딩스,상장,20251230
26727,HD현대건설기계,상장,20251230
11177,영원무역,상장,20251230
1121,현대위아,상장,20251230
997,영원무역홀딩스,상장,20251230
72,현대건설,상장,20251230
3423,파라다이스,상장,20251230
469,삼천리,상장,20251230
150,현대차증권,상장,20251230
1358,계룡건설산업,상장,20251230
3121,서울보증보험,상장,20251230
26726,HD현대일렉트릭,상장,20251230
168,대상,상장,20251230
9572,웅진씽크빅,상장,20251230
38322,F&F,상장,20251230
770,F&F 홀딩스,상장,20251230
367,포스코퓨처엠,상장,20251230
9223,KPX홀딩스,상장,20251230
307,코오롱글로벌,상장,20251230
10009,SK오션플랜트,상장,20251230
153,디아이동일,상장,20251230
45226,한화갤러리아,상장,20251230
622,제주은행,상장,20251230
123,동국홀딩스,상장,20251230
46085,동국씨엠,상장,20251230
67,영풍,상장,20251230
232,한진,상장,20251230
324,태광산업,상장,20251230
24,한국앤컴퍼니,상장,20251230
3021,다올투자증권,상장,20251230
1078,아이에스동서,상장,20251230
3283,삼성생명,상장,20251230
3483,한국토지신탁,상장,20251230
7,삼양홀딩스,상장,20251230
174,SK네트웍스,상장,20251230
1586,일진홀딩스,상장,20251230
8959,제주항공,상장,20251230
496,한신공영,상장,20251230
20088,서연이화,상장,20251230
8469,대상홀딩스,상장,20251230
1781,풀무원,상장,20251230
14599,삼양사,상장,20251230
45008,에코프로머티,상장,20251230
665,대한유화,상장,20251230
18064,한진칼,상장,20251230
40,롯데손해보험,상장,20251230
1176,현대코퍼레이션,상장,20251230
1645,한세예스24홀딩스,상장,20251230
449,세방전지,상장,20251230
120,유진투자증권,상장,20251230
323,삼양식품,상장,20251230
7105,한국투자금융지주,상장,20251231
525,녹십자홀딩스,상장,20251231
1780,현대엘리베이터,상장,20260105
10,유한양행,상장,20260107
628,녹십자,상장,20260109
